id,spoiler
96,TV (THE BOOK): Why ‘Buffy the Vampire Slayer’ was one of TV’s best shows ever
97,Steven Spielberg Promises One Big Thing for Indiana Jones 5
98,Are You Protected When You Use The Internet?
99,This U.S. City Is Welcoming Veterans With An Innovative New Program
100,Why some people think Trump snorted cocaine or Adderall before Monday’s presidential debate
101,The One Thing You Should Never Do With Your Boarding Pass
102,The Real Reason Airplane Windows Don't Always Align With Your Seat
103,Do Trees Sleep at Night?
104,"Minnesota Wants To Legalize Medical Marijuana, But Police Agencies Are In The Way"
105,This Decadent Pumpkin Pie Recipe Has a Salty Secret
106,"Eight Good Things That Happened in 2016 (Yes, Really)"
107,Orlando Coroner Did Something Unusual with Shooter’s Body to Honor the 49 Victims
108,5 Essential Investing Moves For Millennials
109,This Teen’s Last Text Before She Died May Have Predicted Her Tragic Fate
110,"8 countries where $200,000 in retirement savings will last 30 years"
111,Chris Pratt Jokes About 'Guardians Of The Galaxy' Alien Sex Scenes
112,Blocking Blue Light Helps Sleep
113,The surprising reason Lego wanted people to stop buying its toys
114,The 20 cities with the lowest cost of living
115,Scientists Have Formulated An Equation To Show Just How Much Damage Humans Are Causing To Earth
116,"Katherine Heigl's Difficult Behavior Is 'Not Worth It,' According To Hollywood Insiders"
117,CNN’s Fareed Zakaria: Trump ‘Has Succeeded by Bullsh-tting’
118,"Redheads, We've Found The Perfect Eyeshadow Color For You (PHOTOS)"
119,What The Heck Was This Smelly Pink Blob Floating In The Indian Ocean?
120,The vet who 'euthanised' herself in Taiwan
121,Why you SHOULD be selfish at work: Helping others will lead to 'generosity burnout' and can damage your career
122,Julie Chen Reveals She Underwent Plastic Surgery For 'Bigger' Eyes (VIDEO)
123,How long does sex normally last?
124,Xbox Boss Phil Spencer Says Xbox One Won’t Get Playstation 4.5-Style Upgrades
125,The Biggest Mistake You're Making In The Bathroom
126,Initial jobless claims unexpectedly fall
127,Here's where to get free and specialty burgers on National Cheeseburger Day
128,Lawrence Phillips' Cellmate Was Strangled To Death In Cell: Coroner
129,How Has Stephen Hawking Lived Past 70 with ALS?
130,Battlefield 1 might have a hilarious new game mode that sounds crazy
131,11 Of The Nation's 100 Most Dangerous Cities Are In Florida
132,The Chainsmokers' 'Closer' References Blink-182's 'Feeling This'
133,"This Woman Crashed Her Car, The Reason Why Is Pretty Ridiculous"
134,Here’s How To Actually Make Your Penis Bigger
135,Watch the ingenious way this driver briefly escaped a police pursuit under the nose of choppers
136,The magic word this researcher says can get people to agree with you
137,Is this proof of BEER on Mars? Nasa rover discovers a large green bottle on the red planet's surface
138,How safe is your DNA?
139,"Craig & Mary Romney's Home Has A Slide, Craft Room And Much More (PHOTOS)"
140,Texas GOP elector announces he won't vote for Trump
141,"A woman who interviewed over 100 people at Goldman Sachs says there's one question she always hoped candidates would ask her, but they never did"
142,You'll Never Guess What Nick Jonas Does in the Shower
143,The Dish You Should Never Order in Rome
144,Star Wars Actor Confirms Rogue One Cameo
145,"Super Smash Bros 4 3DS: Multiplayer Lag During Gameplay Is A Consistent Problem, Here's How To Fix It"
146,You won't believe who Usain Bolt says is his biggest inspiration
147,Man Investigates A Strange Noise Coming From A Dumpster... And Makes A Stunning Discovery.
148,Boris Johnson's Brexit speech was uploaded to Pornhub with new title
149,850 DNA Matches In FBI Database After Houston Clears Rape Kit Backlog
150,"Former 'Full House' Star, Blake McIver, Now A Go-Go Dancer"
151,This Is The Horrifying Thing That Happens To Your Hands When You Fall Asleep Outside In The Canadian Winter
152,2 Men Try to Abduct 10-Year-Old Girl in New Jersey: Police
153,"Xbox One's Terraria Facing This ""Serious Issue"""
154,Why You Shouldn't Swipe a Chip Credit Card
155,"Why one man thinks the US government should pay citizens $1,000 a month"
156,Expect Hillary to Do This Almost Immediately If She Wins in November
157,Money Expert
158,Don't tell her she's getting bigger and NEVER touch the bump: Fertility expert reveals the pregnancy etiquette EVERYONE should follow
159,Is your makeup adding years to your face? The beauty blunders that are making you appear ten years OLDER (and how to fix them fast)
160,Tom Hanks' Riveting Performance Makes 'Captain Phillips' One Of Year's Best So Far
161,Hotel staff reveal guests' rude and VERY gruesome habits (from leaving used condoms on the bed and flashing instead of giving a tip)
162,Lola The Dog's Santa Encounter Will Get You In The Holiday Spirit
163,"According To Science, This Is The Most Addictive Food In The World"
164,The One Thing Morgan Freeman Still Thinks Is Terrible About The Shawshank Redemption
165,Study shows that most Thais spend majority of time doing nothing
166,J. Crew Appeals To The Masses By Balancing Prices (UPDATED)
167,Organize Your Drawers With Egg Cartons And Ice Cube Trays
168,King of the tape-measure home run? Aaron Judge's blasts go a long way
169,Guy Decides To Explore An Abandoned Building That Turned Out To Be Crack House
170,Should You Make Metabolic Conditioning a Part of Your Fitness Routine?
171,"A former model starved to death, but not from anorexia "
172,There Are Two Possible Reasons Why You Shiver When You Pee
173,"From virtual reality to androids, five expectations for E3"
174,Aleppo Evacuations Halted as Rebels Open Fire on Convoy
175,Here's exactly how much sleep you need to remain healthy
176,Brunette To Blonde Double Process Color Experience
177,Foursquare's Dennis Crowley: This Mistake Will Get You Called Out on Social Media
178,"What Does the ‘Brexit’ Vote Mean for Northern Ireland, Scotland and Wales?"
179,Research Reveals Indian Men Are Becoming Infertile. Here’s Why!
180,Epicstream
181,13 Pokemon The Designers Just Gave Up On
182,2016 Election Night
183,Pokémon Go Cheat: How to Get Unlimited Lucky Eggs & Incense
184,"Your Brain Has A ""Delete"" Button–Here’s How To Use It"
185,The 10 Least Stressful Jobs In 2017
186,22 Countries Where The Gender Gap Is Smaller Than In The U.S.
187,Google Celebrates Celia Cruz's Birthday With Doodle
188,This New Shade Of Blue Was Accidentally Discovered By Chemists
189,Chris Crocker Joins American Apparel As Face Of New Campaign
190,Ask Well: Can Athletes Be Vegans?
191,Here’s Sony’s Response To Microsoft’s Invite to Connect Xbox One and PS4 Networks
192,PC Says 'Chal Na Katrina' To Zac Efron In Baywatch's Hindi Trailer & It's Awfully Hilarious!
193,This teacher's unusual 'homework' assignment is going viral for the best reason
194,Are Student Athletes More Likely to Commit Sexual Assault?
195,Chinese Father Realizes His Greatest Regret After His Son Dies in Car Accident
196,Nars' Guy Bourdin Collection To Debut On Snapchat
197,Bear Breaks Into Bakery and Devours Dozens of Pies
198,"Here’s What Happens When You Give $1,000 to Someone in Extreme Poverty"
199,If you see this guy on a dating site run a mile
200,Netherlands Launches Legal Proceedings Against Russia Over Greenpeace Arrests
201,Jennifer Lawrence Films Cameo For 'Dumb And Dumber' Sequel
202,MIT researchers can read a book without opening the cover
203,3 Cities That Are Reportedly Being Considered For GTA 6
204,This is what happens if you touch a member of the Queen's Guard
205,Penn (of Penn & Teller) loses 100 lbs with ONE vegetable
206,Want To Lose More Weight? Simply Replace Your Diet Soda With This After Meals
207,This Woman’s Response To People Who Shamed Her Engagement Photos Is Too Perfect
208,This seagull fell into a vat of chicken tikka masala. I think I can e...
209,CNN caught ADDING key word to Trump's comments; Twitter ERUPTS - Alle...
210,"Bolivia's San Pedro 'tourist prison', 20 years on"
211,Why Austin Is The Strangest City In America
212,Here’s How Much Every Country Would Have to Pay to Stop Climate Change
213,The Simple Way To Banish Stinky Garlic Breath
214,Eat These Foods for Better Sleep
215,"Proof That 'Parenthood' Is The Saddest, Happiest Show On TV"
216,"Fat-burning foods already in your kitchen: From chili to mustard, how to turn 8 classic ingredients into bulge-beating superfoods"
217,"'SNL' drops Taran Killam, Jay Pharoah in cast shakeup"
218,Here’s Why You Shouldn’t Freak Out About The ‘J Law Cast As Mulan’ News... Yet
219,How To Play Pokémon Go In Your Car Without Mowing Down Trees Or People
220,Boil Christmas veg? Don't sprout nonsense
221,Justin Bieber’s Latest Antics Prove Just How Big a Dick He Really Is
222,Acoustic Take On 'Adore You' Debuts From Miley Cyrus
223,7 Conservative Classics Every American Should Read
224,"Hold up, are Denmark & Sweden trying to start WWIII?"
225,The Bizarre New Way To Eat Eggs That Has Everyone Going Crazy
226,New Overwatch Hero Announced And It’s Not Who You Expected
227,"9 ways the new ""Beauty and the Beast"" is different from the original"
228,The Difference Between a Job and a Calling
229,Sephora Instant Moisturizer Is An Instant Skin Quencher
230,"Whale Ear Wax Reveals Animal's Exposure To Stress & Toxins, Scientists Say"
231,How to actually talk to a woman wearing headphones
232,What Happened When A Fan Tried To Grab Justin Timberlake's Butt During A Song
233,Video of woman's drug overdose goes viral; now she's speaking out
234,Ever Wondered Why Disney Characters Never Have Mothers? The Answer Is Actually TRAGIC
235,Scarlett Johansson's 'Her' Role Might Make History At Oscars
236,Barcelona Sign Ronaldinho for the Second Time as Brazilian Takes on New Role at Camp Nou
237,She Boiled Watermelon Seeds For A Reason I’d Never Heard Of.
238,Paul Ryan: Trump Will Have the Funding to Build Border Wall
239,Both Campaigns Stunned After Houston Chronicle Makes VERY Surprising Endorsement
240,Queen's birthday: The answer she gave to tourists asking if she knew the Queen
241,Is the NES Classic Edition available for pre-order?
242,"Watch: Dillinger Return to Reading Fest After Singer's Onstage Dump, Wasn't Quite What People Expected"
243,Why You Should Never Pet A Service Dog
244,'The Sexy Lie' We Should Be Talking About: Sexual Objectification
245,"A Pregnant Dog Lays Lifelessly In A Field, But Seconds Later, I Gasped"
246,Can Linux ever beat Windows at PC gaming?
247,"We Love Peter Dinklage, But This Voice-Over Work Is Unbearable"
248,A Temple In Mussoorie Did Something That Helps Save Water Without Breaking Tradition
249,Pew Report Reveals Who's Likely To Get Married More Than Once
250,Bringing up the rear
251,Man Realizes The Importance Of Keeping Things In Perspective
252,Costco Is Making a Big Change Today That Shoppers Need to Know About ...
253,"She Put On 100 Pounds In Just Two Years. Doctors Couldn't Find A Reason, Until She Found It Herself"
254,"Police: Four Women Arrested for Spraying Anti-Trump, Anti-Police Graffiti in North Carolina"
255,London's Muslim Mayor Perfectly Responds To Donald Trump's Offer In Just 5 Words
256,"WikiLeaks’ Julian Assange Isn’t Dead, Just Offline"
257,Is That Kim Jong Un Walking The Streets Of Hong Kong?
258,"This woman's story is a lesson in why you should always, always listen to your girlfriend The list"
259,What happened to CS:GO skin prices after Valve's gambling ban
260,"Matt Damon once asked Prince where he lived, got the most Prince answer imaginable"
261,Lorde Names Miley Cyrus Her 'Favorite Disney Pop Star' While Answering Fan Questions (VIDEO)
262,"When This Animal Shelter Asked Pokémon Go Players To Walk Their Dogs, They Didn’t Expect This"
263,Russell Wilson Listens To Gospel Before Kickoff
264,"Your Old Passport Will Be Replaced With Smart E-passport, Here Is Everything You Need To Know"
265,Here's why New York City smells so rancid in the summer
266,This woman was rejected from a job interview with a savage emoji message The list
267,"When This Guy Bought A Used Car, He Never Suspected He’d Find THIS Hidden Inside The Door."
268,You won’t believe why ESPN said they hired Jordan Rodgers
269,JK Rowling: Single Motherhood Is The Thing I'm Most Proud Of
270,"If you leave your kids alone, it’s not predatory strangers who are a risk"
271,We Calculated How Long It Would Take to Do Everything BuzzFeed Tells You to Do Before You Die
272,Is It Safe to Drink Blood?
273,UCLA Has More NCAA Championships Than Black Male Freshmen
274,Why Unbreakable remains the ultimate superhero movie - Little White L...
275,KFC's secret ingredient is 'the most underappreciated spice' in the world
276,5 Reasons The Seventh Inning Stretch Is One Of Baseball's Most Fascinating Traditions
277,'Dallas' Season 3 Premiere Date Revealed
278,The Ice Bucket Challenge Actually ... Worked?
279,"Football Player Donates A Week's Paycheck To Sick Little Girl, Makes Her Season Bright"
280,"Out Of All Men's Haircuts, This Is The Most Requested In America"
281,Why are so many Olympians covered in large red circles?
282,NASA Warns Massive Asteroid Is Heading Towards Earth TODAY
283,The 'Batman v Superman' Easter Egg Almost Everybody Missed
284,"This ""Star Wars"" Theory About Rey Is Insane"
285,Some things never change: 1996 career advice that's still solid
286,"Americans Are Convinced Climate Change Is Connected To Stronger Storms, Poll Says"
287,A Shocking Find in a Neanderthal Cave in France
288,The Annoying Question No Mom Wants to Hear When She Goes on Vacation
289,19 Things You’ll Only Get If You’re High- AND Low-Maintenance
290,"9 Cops Sit Down In Her Section At Red Robin, Then Waitress Realizes S..."
291,"Daniel Radcliffe On 'Kill Your Darlings' & Moving Beyond, But Not Forgetting, Harry Potter"
292,Cigarette Tax Hike In Chicago Makes A Pack Of Smokes In The Windy City The Priciest In The Nation
293,Wedding Gift Opened After 9 Years At First Disagreement : People.com
294,Male Nurse Breaks Down When His Friend Reveals He Can Give Him A Kidney
295,"Ernestine Shepherd, 77-Year-Old Bodybuilder, Says 'Age Is Nothing But A Number' (VIDEO)"
296,The Terrifying Way Not Sleeping Enough Actually Changes Your Gut
297,Jerusalem Truck Terrorist’s Sister: We’re Thankful To Allah For His ‘Saintly’ Death
298,"If You See A Man With One Painted Fingernail, THIS Is What It Means..."
299,10 Worthless Collectibles And the Reasons They Lost Their Value
300,41 incredible museums to visit before you die
301,Melissa McCarthy's Elle Cover Backlash Prompts Statement From The Magazine
302,The Strange Reason Nearly Every Film Ends by Saying It’s Fiction (You Guessed It: Rasputin!)
303,You Can Be Mentally Stronger If You Do This Small Act Every Day
304,"Because of Brexit, Berlin is now likely to become Europe’s startup capital"
305,The worst gift to give this Christmas
306,"This chain will give you free burgers for life, but on one condition"
307,A man who retired at 34 explains one bad savings habit that everyone should avoid
308,Walmart's Biggest Black Friday Seller? Towels.
309,This almost free item is one of the most important things you can keep in your car
310,VIDEO: He Went To Rip Weeds From His Lawn. Hours Later He’s Dead. You Could Be Next. BE WARNED...
311,Retired detective reunites with girl he saved years ago
312,"Peter Facinelli Talks Fears, 'Breaking Bad' Obsession For HuffPost's #nofilter"
313,Cat Claw Removal
314,Stranger Helps After Mom's Car Breaks Down With Kids
315,A Farmer Got More Than He Bargained For When He Dug This Up On Christ...
316,Can You Guess The Indian Cricketer Who Is Totally Rocking His Beard Game? I Couldn’t.
317,The antibodies that were invented to help immunologists find GOD
318,You’ll Never Guess What Else Gives You The Munchies
319,Donald Trump takes poll lead over Hillary Clinton – is it time to panic?
320,So THAT'S Why Men And Women Take Their Shirts Off Differently
321,J.K. Rowling Has Revealed A Heartbreaking Truth About Hagrid
322,The 10 Professions With the Most Psychopaths
323,Bernie Sanders Gets His Secret Service Code Name
324,Do YOU have high cholesterol? Here are 5 foods to eat and avoid
325,UK beauty queen cured her severe acne with one simple diet trick
326,What Will Make The Future Of Energy Terrorist-Proof?
327,Colorado Is The Most Magical State In America
328,Mom Reveals Chilling Message 1 Year After Snapping Photo Of Daughter’s 1st Day Of School
329,"In A Rare Move, Supreme Court Allows 24-Week Pregnant Woman To Abort"
330,Google: Free music streaming service unveiled
331,Trump and Hillary Refuse to Explain Why They Both Share the Same Address in Delaware
332,Scientists have finally found a real cure for hangovers
333,Katy Perry Catches Bouquet At Grammys Mass Wedding
334,The Spot In Zanzibar That's Basically Heaven On Earth
335,The Bottom Line: 'Homesick For Another World' By Ottessa Moshfegh
336,All Blue-Eyed People Have This One Thing In Common
337,Donald Trump calls Ted Cruz the P word
338,Gay teenager's yearbook quote mocks the gender pay gap perfectly
339,Irish rower dies in Poland after freak accident hours after winning medal
340,"Dog Dies One Hour After Hiking With His Owner, Veterinarian Gives Shocking Reason Why"
341,Here's A New Clue About Where 'The Simpsons' Actually Takes Place
342,Why Voting for Donald Trump Is a Morally Good Choice
343,Eccentric Uncle Leaves Relatives Old Garage in His Will
344,"If You Ever See Your Cat Doing This, They’re Trying To Tell You Something Very Important."
345,The 'Netflix tax' is starting
346,This Dog Is NOT Happy about His Visit to the Vet. Watch This!
347,Selena Gomez Just Pulled Off the Most Difficult Color to Wear in the World
348,Dr Karl: Can you get pregnant during a pregnancy? Featured Stories Additional stories
349,Whitney Thompson Of 'Top Model' Fame Lands Plus-Size Lingerie Campaign (PHOTOS)
350,PGA Just Cancelled A Huge Tournament At Trump’s Resort. Where They Moved It To Will Infuriate Him
351,The first person in the royal family has just come out as gay
352,British Police Officers Reveal What They Really Think About the War on Drugs
353,What Would Happen if the Olympics Banned Russia?
354,How to Fall Asleep in Under a Minute
355,Five Extraordinary Trips To Make This Holiday Season
356,"Adele Forgets The Lyrics To Her Own Song, Her Reaction Will Make You LOL"
357,Why Obama’s half-brother says he’ll be voting for Donald Trump
358,Check Out These New Bizarre Laws For 2017  Insider
359,Peter Pilotto For Target Preview Has Us Excited For Spring Already (PHOTO)
360,Everyone Who Has THESE Holes On The Back is Really Special! THIS is Why...
361,JK Rowling channelled her inner Malfoy to get revenge on Stephen Fry over Harry Potter audiobook
362,GTA V Player Uncovered A New Never-Before-Found Secret In-Game
363,A mother hears her dead son's heart beat
364,The Crazy Cooking Hack that Slashes the Calories in Rice by Half
365,Why this tech company is giving 100 people free money
366,This Unlikely Former First Lady Hints at Supporting Clinton Over Trump
367,REVEALED: People who POOP at this time of day are healthiest
368,Viralands - He Places Colored Water in Bread Pans Outside During a Sn...
369,Best of 2016: Get a dose of the best feel-good stories of the year
370,Donald Trump Appeared In A 2000 Playboy Softcore Porn
371,Shamus Beaglehole Wins 2014 Name of the Year Contest
372,Is Clinton headed for a landslide win? Here’s one reason it could happen.
373,7 Things We Know About the New Season of Stranger Things
374,This Is What Happens To You If You Drink 4 Energy Drinks A Day For 7 Years
375,Katie Holmes Rents New York City Penthouse
376,Jason Aldean's Tour Bus Kills Pedestrian In Indiana
377,John Slattery's 'God's Pocket' Shows That Seriously Everyone Wants To Work With Him
378,Just how much US debt does Saudi Arabia own?
379,This State Has More Marijuana Shops Than Starbucks or McDonald’s
380,You'll Never Believe What Selena Gomez Orders at McDonalds
381,The First Person to Capture All 142 Pokémon Just Got the Gift of a Lifetime
382,Foods and Healthy Life: Stop Eating This Food Immediately! It Causes ...
383,"When her Dad says ""bang"" I never thought she’d react like THIS — Hilarious!"
384,The Surprising Thing You Never Have To Do In Watch Dogs 2
385,Kim Kardashian Wears Leggings To Pilates Class
386,Warren Buffett: Ben Bernanke Should Stay On As Fed Chair
387,You Won't Believe How Much the TSA Makes From Leftover Change
388,I’d never heard of this condition until the terrible joint pain set in
389,We shoppers aren’t to blame for food waste. Guess who is
390,Rubbing These Two Things on Your Teeth Will Make Them Whiter in Minutes
391,9 Things Elizabeth Taylor Taught Us About The Art Of Love
392,Here's the part of the UK that has the most sex The list
393,The Most Talked About Celebrities Of 2013
394,"""Pluto’s Little Sister"" Makemake Has Something Even Pluto Doesn’t"
395,China is too quick to rebalance its services sector
396,Why We Sent a Reporter to Work as a Private Prison Guard
397,Taylor Swift First Heard Tegan And Sara's 'Closer' In The 'G.B.F.' Trailer
398,One of the biggest ways college students are ripped off is getting out of control
399,Manchester United fans will certainly be relieved with David De Gea's latest comments
